National Center for Education Statistics - IPEDS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
http://nces.ed.gov/ipeds,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,University of California-Berkeley,University of California-Los Angeles,Yale University,University of Florida,Georgia Institute of Technology-Main Campus,University of Chicago,Johns Hopkins University,Harvard University,Massachusetts Institute of Technology,Princeton University,Columbia University in the City of New York,New York University,Duke University,Stanford University,
General information: Academic year 2024-25,UnitId,110635,110662,130794,134130,139755,144050,162928,166027,166683,186131,190150,193900,198419,243744,
General information: Academic year 2024-25,Name,University of California-Berkeley,University of California-Los Angeles,Yale University,University of Florida,Georgia Institute of Technology-Main Campus,University of Chicago,Johns Hopkins University,Harvard University,Massachusetts Institute of Technology,Princeton University,Columbia University in the City of New York,New York University,Duke University,Stanford University,
General information: Academic year 2024-25,City,Berkeley,Los Angeles,New Haven,Gainesville,Atlanta,Chicago,Baltimore,Cambridge,Cambridge,Princeton,New York,New York,Durham,Stanford,
General information: Academic year 2024-25,State,CA,CA,CT,FL,GA,IL,MD,MA,MA,NJ,NY,NY,NC,CA,
General information: Academic year 2024-25,Web Address,www.berkeley.edu/,www.ucla.edu/,https://www.yale.edu/,https://www.ufl.edu/,www.gatech.edu/,www.uchicago.edu/,www.jhu.edu/,www.harvard.edu/,web.mit.edu/,www.princeton.edu/,www.columbia.edu/,https://www.nyu.edu/,www.duke.edu/,www.stanford.edu/,
General information: Academic year 2024-25,OPEID,00131200  ,00131500  ,00142600  ,00153500  ,00156900  ,00177400  ,00207700  ,00215500  ,00217800  ,00262700  ,00270700  ,00278500  ,00292000  ,00130500  ,
General information: Academic year 2024-25,Title IV Institution,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,Participates in Title IV federal financial aid programs,
General information: Academic year 2024-25,Control,Public,Public,Private not-for-profit,Public,Public,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,Private not-for-profit,
General information: Academic year 2024-25,Level,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,Four or more years,
General information: Academic year 2024-25,Institution Category,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",
General information: Academic year 2024-25,Carnegie Classification,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,Doctoral Universities: Highest Research Activity,
